id,product_name,images,description,category,color_name,color_hex,best_seller,net_wt,# of shades
1,Cake Foundation,Cake Foundation PB186394.jpg,"FS Cake Foundation is specially formulated in a creamy, water-activated formula that gives the face a smooth and blemish-free finish. It provides supreme, flawless makeup coverage (without chalkiness) that will last for hours! ",FACE,Beige,f6d09a,,20g,5
1,,,,FACE,Warm Beige,d99a6b,,,
1,,,,FACE,Natural Tan,e19365,,,
1,,,,FACE,Medium Tan,cd7941,,,
1,,,,FACE,Warm Tan,b5611e,,,
2,Powder Foundation,Powder Foundation PB186320.jpg|Powder Foundation PB186324.jpg|Powder Foundation PB186333.jpg,A light weight and non-sticky powder foundation that gives a silky smooth finish. It blends seamlessly with your skin complexion without the need to retouch. Apply with damped sponge for a fuller coverage. Can also be used as setting powder when applied dry.,FACE,Mocha,fad7bb,TRUE,15g,4
2,,,,FACE,Toffee,e7af82,,,
2,,,,FACE,Latte,f1d297,,,
2,,,,FACE,Pecan,fec984,,,
3,Two-Way Cake ,Two Way Cake PB186363.jpg|Two Way Cake PB186371.jpg,"A versatile wet/dry face powder that can be used for medium coverage or light touch ups. Because of its mineral-based formula, FS Two-Way Cake does not clog the pores while allowing the skin to breathe. It also gives long-lasting coverage for a worry free everyday use. Suitable for all skin types.

",FACE,Silk,ffe2cb,,13g,7
3,,,,FACE,Satin,f9dac1,,,
3,,,,FACE,Chino,bf7d56,,,
3,,,,FACE,Duchess,f0b889,,,
3,,,,FACE,Orleans,fdc99f,,,
3,,,,FACE,Organza,fcc599,TRUE,,
3,,,,FACE,Rajah,c58653,,,
4,Two-Way Cake Refill,Two way cake refill PB246663.jpg,"A versatile wet/dry face powder that can be used for medium coverage or light touch ups. Because of its mineral-based formula, FS Two-Way Cake does not clog the pores while allowing the skin to breathe. It also gives long-lasting coverage for a worry free everyday use. Suitable for all skin types.

",FACE,Silk,ffe2cb,,13g,7
4,,,,FACE,Satin,f9dac1,,,
4,,,,FACE,Chino,bf7d56,,,
4,,,,FACE,Duchess,f0b889,,,
4,,,,FACE,Orleans,fdc99f,,,
4,,,,FACE,Organza,fcc599,,,
4,,,,FACE,Rajah,c58653,,,
5,Loose Powder,Pick PB186404.jpg|Pick PB186416-.jpg,"FS Loose Powder is a fine and weightless powder that creates a matte-natural finish. Its rich and smooth powdered texture gently hide skin imperfections. It comes with a retractable, soft brush that can be detached and snapped back to its stylish, elegant compact.",FACE,#1,e8a14c,,20g,2
5,,,,FACE,#2,f0bf79,,,
6,BB Cream,BB Cream.jpg|BB Creams.jpg,"An all-in-one cosmetic breakthrough that has the properties of Foundation, to give your face a seamless coverage; Concealer, to flawlessly cover all blemishes; Moisturizer, to keep your face from dryness; and UV-protection, to protect your skin against harmful rays from the sun.",FACE,Filipina,ebbe8e,,25g,3
6,,,,FACE,Mestiza,fac193,,,
6,,,,FACE,Oriental,dab190,TRUE,,
7,Primer,Primer P1016117.jpg|Primer P1016119.jpg,A lightweight lucid makeup base that flawlessly minimizes pores and fine lines. It is formulated to give a silky smooth finish for easy makeup blend.,FACE,N/A,,,20g,1
8,Concealer,Concealer PB246672-.jpg|Concealer PB246680-.jpg,Foundation stick that flawlessly covers blemishes. It has SPF40+ PA+++ to protect skin against harmful rays from the sun.,FACE,Cashew,fec984,TRUE,11g,4
8,,,,FACE,Chestnut,c58b5d,,,
8,,,,FACE,Sand, f7cead,,,
8,,,,FACE,Walnut,f5a666,,,
9,Make-Up Remover,Makeup remover P1016026-.jpg|Makeup remover P1016044-.jpg,"A gentle, non-greasy makeup remover that thoroughly takes off makeup without drying or irritating the skin. After each use, FS Makeup Remover will clearly leave your skin refreshed and clean! ",FACE,N/A,,,100mL,1
10,Powder Blush,Powder Blush PB186426.jpg|Powder Blush PB186432-.jpg|Powder Blush PB186434.jpg,Matte and shimmery blush-on with Vitamin E. ,CHEEKS,Twinkle Tan,f48d6c,,4g,6
10,,,,CHEEKS,Silky Coral Pink,f48584,,,
10,,,,CHEEKS,Warm Chiffon,c5976b,,,
10,,,,CHEEKS,Hush Pink,ec5d88,,,
10,,,,CHEEKS,Nude Peach,f78d7c,,,
10,,,,CHEEKS,Georgia Peach,ff8890,TRUE,,
11,Single Eyeshadow,Single Eyeshadow P1016224.jpg|Single Eyeshadow PB176253.jpg|Single Eyeshdow PB176297.jpg,"A collection of matte and shimmery eyeshadow colors with perfectly smooth finish. Each eyeshadow can be easily detached and ""snapped"" on FS Quad Palette for your own customized eyeshadow set.",EYES,Starry Night ,364a65,,4g,39
11,,,,EYES,Tropic Sea ,4a6e8e,,,
11,,,,EYES,Cold Sapphire ,5b7fef,,,
11,,,,EYES,Pacific Breeze ,81ceec,,,
11,,,,EYES,Cinnamon Mousse ,cca67f,,,
11,,,,EYES,Olive Tree ,49531f,,,
11,,,,EYES,Pastel Ivy ,58a835,,,
11,,,,EYES,Citrine Sunshine ,e4ff00,,,
11,,,,EYES,Honey Glitter ,cb9926,,,
11,,,,EYES,Espresso ,825538,,,
11,,,,EYES,Deep Onyx ,52342c,,,
11,,,,EYES,Frosty Chic ,d68858,,,
11,,,,EYES,Flamed Tangerine ,fd8433,,,
11,,,,EYES,Mocha Java ,875846,,,
11,,,,EYES,Dark Caramel ,583925,,,
11,,,,EYES,Mulberry Wine ,252027,,,
11,,,,EYES,Ruby Stone ,8e3e3f,,,
